1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
438,0.0,1.0,No,290,Rec,0,246,Unf,1930.0,438,Fa,8400,60.0,0.0,0,5,2,290,0.0,1920,1950,60000
1844,0.0,3.0,No,705,BLQ,1139,546,RFn,1977.0,1844,TA,11751,105.0,480.0,122,6,6,1844,0.0,1977,1977,190000
1352,0.0,3.0,Av,300,BLQ,468,288,Unf,1958.0,1352,Gd,6930,92.0,120.0,0,4,5,1062,0.0,1958,1958,130000
1620,0.0,2.0,Gd,1022,GLQ,598,912,Fin,2008.0,1620,Ex,12898,89.0,70.0,0,5,9,1620,0.0,2007,2008,315500
954,0.0,3.0,Av,483,ALQ,428,576,Unf,1976.0,954,TA,10780,55.0,0.0,0,5,5,911,0.0,1976,1976,132500
1619,167.0,3.0,Gd,1249,None,103,529,Fin,1965.0,1786,TA,164660,70.04995836802664,0.0,0,6,5,1499,0.0,1965,1965,228950
854,0.0,2.0,No,0,Unf,832,576,Unf,1991.0,854,TA,6120,51.0,0.0,112,8,7,832,0.0,1929,2001,132000
1028,776.0,3.0,No,0,Unf,994,442,Fin,1999.0,1804,Gd,7500,60.0,0.0,60,5,7,994,0.0,1999,1999,189000
894,0.0,3.0,No,762,ALQ,102,440,Unf,1974.0,894,TA,13350,100.0,0.0,0,5,5,864,0.0,1974,1974,142500
864,0.0,3.0,Av,390,ALQ,474,352,Unf,1989.0,864,TA,7180,60.0,0.0,0,7,5,864,0.0,1972,1972,127000
1795,0.0,2.0,Av,0,Unf,1795,895,RFn,2007.0,1795,Gd,9986,75.0,428.0,49,5,8,1795,0.0,2006,2007,147000
874,650.0,3.0,No,460,BLQ,414,315,Unf,1958.0,1524,TA,11344,78.0,180.0,0,5,5,874,0.0,1958,1958,144000
1052,0.0,3.0,Av,1016,None,36,288,RFn,1968.0,1052,TA,8400,70.0,168.0,0,5,5,1052,356.0,1968,1968,138500
