GarageArea,GrLivArea,KitchenQual,TotalBsmtSF,YearBuilt
774,1828,Gd,1822,2007
308,894,TA,894,1962
432,964,TA,876,1921
857,1689,Gd,1568,2002
843,1541,Gd,1541,2001
400,1221,Gd,1221,2004
440,1324,TA,1088,1965
484,1416,Gd,696,1999
297,988,TA,462,1973
440,1218,TA,735,1941
397,1656,Gd,746,2003
460,1362,Gd,1362,2005
442,1839,TA,756,1966
451,1375,TA,1367,1954
528,1122,Gd,924,1948
588,1432,Gd,1360,1978
400,1456,Gd,728,2007
497,1217,Gd,1188,1990
625,1040,TA,0,1950
528,1224,Gd,612,2009
468,1774,TA,952,1931
384,1367,TA,861,1900
297,1360,Gd,803,1938
420,848,Gd,848,2004
749,2262,Gd,1482,2003
396,1220,TA,836,1951
398,1414,Gd,1375,2004
396,2058,TA,735,1917
0,1198,TA,901,1920
499,1659,Ex,1501,2000
308,1012,TA,1012,1920
672,3082,TA,824,1920
672,1812,Gd,360,1900
650,1929,Gd,1057,2001
576,954,TA,911,1976
765,1838,Ex,1838,2006
924,1640,Gd,1296,1954
672,1148,TA,1148,1959
280,950,TA,950,1971
471,1911,Gd,777,1993
440,1635,TA,1065,1923
440,1316,Gd,1316,2007
615,1442,TA,1442,1970
500,1078,TA,1078,1971
544,1120,Fa,1040,1961
527,1419,Gd,408,2002
240,1389,TA,651,1946
280,1063,TA,1056,1954
874,1792,Ex,1792,2003
402,1216,TA,1216,1998
576,1762,Gd,596,1920
434,1959,Gd,847,2004
546,1208,TA,1208,1977
315,1524,TA,874,1958
240,1154,Gd,796,1922
420,1048,TA,0,1950
273,886,TA,190,1938
600,943,TA,943,1979
603,1768,Gd,866,2005
779,2599,Gd,1393,1999
275,912,TA,912,1958
308,882,TA,0,1956
511,1337,Gd,1405,1998
850,2076,Ex,2076,2006
752,2531,Gd,1318,1995
240,1768,Gd,731,1937
538,1625,Gd,1573,2006
389,2144,Gd,1444,1958
880,2775,Gd,1237,1893
477,1868,TA,585,1984
541,1525,Gd,1525,2000
722,1571,Gd,1571,2007
0,796,TA,796,1910
432,2372,TA,994,1892
402,1472,Gd,384,1991
364,960,TA,648,1965
